Date,ShopName,Prefecture,longitude,latitude,Open
2021-11-11,さかい珈琲 大和高田店,奈良県,135.732921215679,34.493689101783744,1
2021-11-11,珈琲所コメダ珈琲店 セブンパーク天美店,大阪府,135.54126747048537,34.59297553735473,1
2021-11-11,スターバックスコーヒー尾道高須店,広島県,133.23488531567807,34.43305700501189,1
2021-11-10,むさしの森珈琲 相模原横山店,神奈川県,139.3619757156976,35.56797824378129,1
2021-11-09,カフェ・ド・クリエ 大垣西インター店,岐阜県,136.5884478908684,35.377854805810145,1
2021-11-08,POP BY COFFEE,石川県,136.64461121571512,36.56460868862458,1
2021-11-08,Whim Coffee Stand (ウィムコーヒースタンド),東京都,139.64837581569998,35.70611573621338,1
2021-11-06,KROOME COFFEE,大阪府,135.486338515682,34.66955229239258,1
2021-11-03,スターバックスコーヒー セブンパーク天美店,大阪府,135.54176082925076,34.59236240279253,1
2021-11-02,スターバックスコーヒー京王笹塚店,東京都,139.66531603192996,35.67361680728281,1
2021-11-02,ドトールコーヒーショップ 横須賀中央駅前店,神奈川県,139.6686726156924,35.27932215951516,1
2021-11-01,ぱんだこーひー,岡山県,133.94109891568212,34.67132289229778,1
2021-10-30,さかい珈琲 大安寺店,奈良県,135.817802017649,34.66684353768813,1
2021-10-29,スターバックスコーヒー岡山平井店,岡山県,133.95033752367297,34.63382054859189,1
2021-10-28,Z/X coffee 高岳店,愛知県,136.91695531569079,35.17382046523835,1
2021-10-27,タリーズコーヒー アリオ加古川店,兵庫県,134.8496352926396,34.72818017798257,1
2021-10-27,Single O Hamacho,東京都,139.78875882925195,35.68410718806823,1
2021-10-27,星乃珈琲店 道頓堀店,大阪府,-1,-1,1
2021-10-27,珈琲所コメダ珈琲店 高崎飯塚店,群馬県,139.0065427157112,36.34117480110208,1
2021-10-27,猿田彦珈琲 名古屋 則武新町店,愛知県,136.8777393156908,35.179988364904176,1
2021-10-25,スターバックスコーヒー岡崎針崎店,愛知県,137.15035844411676,34.91840076000652,1
2021-10-22,珈琲所コメダ珈琲店 プラットモール長崎店,長崎県,129.86223646295994,32.770137825285474,1
2021-10-20,スターバックスコーヒー フルルガーデン八千代店,千葉県,140.1171758250341,35.722049036997106,1
2021-10-20,スターバックスコーヒー名古屋則武新町2階店,愛知県,136.87852145828376,35.17949533738603,1
2021-10-20,スターバックスコーヒー名古屋則武新町1階店,愛知県,136.87852145828376,35.17949533738603,1
2021-10-19,星乃珈琲店 那覇オーパ店,沖縄県,127.67800596231818,26.211668683741323,1
2021-10-17,CHIMNEY COFFEE 渋谷本店,東京都,139.6983698156991,35.656918938911446,1
2021-10-15,スターバックスコーヒー イーアス春日井店,愛知県,136.9818848041637,35.25889760681924,1
2021-10-14,珈琲家暖香 一宮木曽川店,愛知県,136.77687641569344,35.33675265639335,1
2021-10-14,SWELL COFFEE ROASTERS（スウェル コーヒー ロースターズ）,東京都,139.6970382156988,35.64691053946007,1
2021-10-13,ハワイ カウコーヒー JR大宮駅店,埼玉県,139.62437852925225,35.90634298502259,1
2021-10-10,FREAK COFFEE ROASTERS,愛知県,137.01740281569096,35.18320366473017,1
2021-10-08,珈琲所コメダ珈琲店 ダイエー武蔵村山店,東京都,139.3767110157005,35.735707334589044,1
2021-10-07,タリーズコーヒー ＆TEA水戸エクセル店,茨城県,140.47437321619284,36.37132294642823,1
2021-10-03,ドトールコーヒーショップ 城南信用金庫瀬谷店,神奈川県,139.4810051145638,35.470118470210956,1
2021-10-01,珈琲所コメダ珈琲店 東池袋一丁目店,東京都,139.7137865157003,35.7292232349449,1
2021-10-01,スターバックスコーヒー阪神梅田本店 9階店,大阪府,135.4968846019544,34.70102782106016,1
2021-10-01,スターバックスコーヒー阪神梅田本店 地下2階店,大阪府,135.4968846019544,34.70102782106016,1
2021-10-01,THE SMOKIST COFFEE  新宿御苑前店,東京都,139.70799021569945,35.68917653714282,1
2021-09-30,フグレン羽根木公園,東京都,139.6542852292358,35.65680908844127,1
2021-09-30,HARIO CAFE 泉屋博古館東京店,東京都,139.74084294829308,35.665596557149556,1
2021-09-30,UNI COFFEE ROASTERY 大船店,神奈川県,139.5325238292355,35.35342209257001,1
2021-09-29,星乃珈琲店 東戸塚店,神奈川県,139.55618799998805,35.42957373710642,1
2021-09-27,THE SMOKIST COFFEE新宿御苑前店,東京都,139.70957482925192,35.689178887998935,1
2021-09-27,カフェ・ド・クリエ 流山アルコテラス店,千葉県,139.89159261436643,35.898981846127896,1
2021-09-27,珈琲所コメダ珈琲店 金町南口店,東京都,139.8710276357268,35.76868938703126,1
2021-09-27,珈琲所コメダ珈琲店 北上本石町店,岩手県,141.11449324746872,39.291511547762326,1
2021-09-25,星乃珈琲店 八代西片店,熊本県,130.63447065336743,32.51006139660041,1
2021-09-25,スターバックスコーヒー八王子宇津木店,東京都,139.34257625918934,35.68393567419814,1
2021-09-25,スターバックスコーヒー札幌川下店,北海道,141.44639482924472,43.05323397866838,1
2021-09-24,カフェ・ド・クリエ 流山アルコテラス店,千葉県,139.88887892326633,35.898932290685735,1
2021-09-23,スターバックスコーヒー カインズ会津若松店,福島県,139.89980249060858,37.48758943430776,1
2021-09-22,むさしの森珈琲 世田谷オークラランド店,東京都,139.6375904522456,35.6409417638925,1
2021-09-22,スターバックスコーヒー宇部琴芝店,山口県,131.2595816739524,33.95738282982975,1
2021-09-21,支留比亜珈琲店 栄町店,愛知県,136.92449041177665,34.88665668693322,1
2021-09-21,スターバックスコーヒー豊川下長山店,愛知県,137.38000655824996,34.806964197410565,1
2021-09-20,M’s beans 札幌本店,北海道,141.33169770963045,43.070972863613,1
2021-09-20,BECK’S COFFEE SHOP ペリエ千葉エキナカ,千葉県,-1,-1,1
2021-09-19,ドトール珈琲店 本郷三丁目店,東京都,139.75860316728412,35.70701885132114,1
2021-09-18,スターバックスコーヒーノブレスパルク袋井店,静岡県,137.92463205235327,34.73897695976687,1
2021-09-17,タリーズコーヒー &TEA ららぽーと立川立飛店,東京都,139.4177473157002,35.71171563590597,1
2021-09-16,PATHFINDER XNOBU （パスファインダー タイムスノブ）,大阪府,135.49313491568282,34.70289099060763,1
2021-09-15,スターバックスコーヒー イオンタウン伊賀上野店,三重県,136.13456119730057,34.74807826514911,1
2021-09-15,スターバックスコーヒー福岡星見ヶ丘店,福岡県,130.4481141461075,33.50726813411642,1
2021-09-14,スターバックスコーヒー グランツリー武蔵小杉店,神奈川県,139.65804291569765,35.57374014346616,1
2021-09-14,スターバックスコーヒー掛川細田店,静岡県,137.98053282706582,34.77156493115657,1
2021-09-14,スターバックスコーヒー ビバシティ彦根店,滋賀県,136.2522247719674,35.24318683857515,1
2021-09-12,DUCT COFFEE LAB 武蔵小山店,東京都,139.7061122292519,35.617702988975154,1
2021-09-12,小春や珈琲,大阪府,135.54590861567937,34.49864410151973,1
2021-09-10,スターバックスコーヒー梅田HEP FIVE3階店,大阪府,135.5001875292509,34.70412290130344,1
2021-09-10,スターバックスコーヒーイオンモール常滑店,愛知県,136.82482412202003,34.88250644990023,1
2021-09-10,スターバックスコーヒー河内長野高向店,大阪府,135.55015191567836,34.442814104492925,1
2021-09-10,豆工房 コーヒーロースト 恵那店,岐阜県,137.41252421569536,35.449470150253916,1
2021-09-09,スターバックスコーヒー宗像店,福岡県,130.5567253794627,33.785706206049134,1
2021-09-08,ブルーボトルコーヒー 白井屋カフェ,群馬県,139.06791351571206,36.390336598361955,1
2021-09-06,スターバックスコーヒー イオン市川妙典店,千葉県,-1,-1,1
2021-09-06,コスタコーヒー スタンド at SYNTH×Business-Airport,大阪府,135.4916767156824,34.698669090833704,1
2021-09-03,スターバックスコーヒー千歳船橋駅店,東京都,-1,-1,1
2021-09-01,スターバックスコーヒー栄セントラルパーク店,愛知県,136.90736735825146,35.17203508758778,1
2021-09-01,CRAFT COFFEE & GELATO KUNZUDO,京都府,135.77406151568755,34.98933417521152,1
2021-08-31,fukamori coffee,東京都,139.7968008292519,35.68750368802183,1
2021-08-30,タリーズコーヒー日比谷フォートタワー店,東京都,139.75402165304163,35.67082813955565,1
2021-08-29,Stone River Coffee,東京都,139.6553152732266,35.60722560722522,1
2021-08-29,KAZU COFFEE,愛知県,136.9382960536688,35.193562372942466,1
2021-08-27,スターバックスコーヒー新潟小新店,新潟県,138.98799680417,37.868460553269955,1
2021-08-27,ユニフードドトールコーヒー新守山店,愛知県,136.94771922757724,35.205504263521256,1
2021-08-27,カフェ・ド・クリエ ケヤキゲート府中店,東京都,139.47751821569932,35.67305993802652,1
2021-08-25,珈琲館 イオンスタイル新百合ヶ丘店,神奈川県,139.50138797710645,35.6034705979636,1
2021-08-25,カフェ・ド・クリエ ホピタル 静岡県立総合病院店,静岡県,138.38408301568774,35.00314037446685,1
2021-08-25,スターバックスコーヒーくずはモール ハナノモール店,大阪府,-1,-1,1
2021-08-25,スターバックスコーヒー日本医科大学 武蔵小杉病院店,神奈川県,139.65737865825324,35.58075417648605,1
2021-08-18,スターバックスコーヒー郡山並木店,福島県,140.35954111573056,37.410161140825025,1
2021-08-18,LAUGH COFFEE（ラフ コーヒー）,群馬県,139.0674380157121,36.392722898229046,1
2021-08-18,REWARD COFFEE （リワード コーヒー）,東京都,139.87011101569917,35.66282203858792,1
2021-08-10,スターバックスコーヒー静岡南瀬名店,静岡県,138.4204844292351,35.002770297303975,1
2021-08-05,神乃珈琲 川崎有馬店,神奈川県,139.58006282925183,35.57977198949248,1
2021-08-05,珈琲所コメダ珈琲店 沖縄浦添経塚店,沖縄県,127.72335882700075,26.237816861271423,1
2021-08-01,樹珈琲,神奈川県,139.3911814128954,35.4219403517551,1
2021-08-01,髙木珈琲行徳 メトロピア店,千葉県,139.9123140156996,35.68298863748217,1
2021-08-01,VOIGHT COFFEE,宮城県,140.85019090560422,38.270188591273296,1
2021-07-30,ドトールコーヒーショップ アリオ橋本店,神奈川県,139.3482332292358,35.59197578932617,1
2021-07-28,スターバックスコーヒーJR東日本ホテルメッツ 目白店,東京都,139.70630852923594,35.72111368756225,1
2021-07-27,en. 珈琲焙煎所,岡山県,133.92925740399394,34.66258041334764,1
2021-07-23,HUMAN MADE Cafe by Blue Bottle Coffee,東京都,139.71205391289968,35.672668038048066,1
2021-07-23,ブルーボトルコーヒー 梅田茶屋町カフェ,大阪府,135.4981496656411,34.70763057942657,1
2021-07-23,星乃珈琲店 茨城県立図書館店,茨城県,140.47528562759783,36.37637469914054,1
2021-07-22,珈琲所コメダ珈琲店 ビエラ小倉店,福岡県,130.88156435437173,33.887598442883075,1
2021-07-22,珈琲所コメダ珈琲店 千里丘駅東店,大阪府,135.55256440509217,34.79029058041174,1
2021-07-21,むさしの森珈琲 武蔵野西久保店,東京都,139.55722181290045,35.70779113612129,1
2021-07-21,dekoboko coffee house,兵庫県,135.16331881288235,34.66618539257267,1
2021-07-20,スターバックスコーヒー エミオひばりヶ丘店,東京都,139.5447220292359,35.75165418714429,1
2021-07-19,スターバックスコーヒー エキュート大宮ノース店,埼玉県,139.62377941290382,35.90655417518805,1
2021-07-19,ドトールコーヒーショップ イオンモール白山店,石川県,136.58227964458027,36.54356387936845,1
2021-07-17,コスタコーヒー 原宿駅店,東京都,139.70070246041752,35.67099430350645,1
2021-07-16,珈琲所コメダ珈琲店 阪急園田店,兵庫県,135.4471773203821,34.75284305119692,1
2021-07-16,スターバックスコーヒー皇居外苑 和田倉噴水公園店,東京都,139.75903891569948,35.683053537478656,1
2021-07-15,スターバックスコーヒー諫早駅店,長崎県,130.0401967445684,32.85191886550645,1
2021-07-14,CALM (カルム),三重県,136.5829179542888,34.85523728928513,1
2021-07-14,CONNY COFFEE 彦根店,滋賀県,136.2417140128927,35.264219060335414,1
2021-07-14,スターバックスコーヒー ミュープラット神宮前店,愛知県,136.9127078292514,35.12620909564213,1
2021-07-13,珈琲元年 鳴子店,愛知県,136.9635749410658,35.098905995917626,1
2021-07-13,シナボン・シアトルズベストコーヒー ゆめタウン廿日市店,広島県,132.3333751156766,34.3460366096369,1
2021-07-13,珈琲所コメダ珈琲店 荻窪西口店,東京都,139.61780622923587,35.70486948778443,1
2021-07-12,ロバーツコーヒー 麻布十番店,東京都,139.735212327585,35.655217539004624,1
2021-07-12,スターバックスコーヒー TSUTAYA BOOKSTORE イオンモール白山店,石川県,136.58011231571479,36.54423728976482,1
2021-07-12,スターバックスコーヒー イオンモール白山店,石川県,136.58202741840046,36.544740506911516,1
2021-07-08,スターバックスコーヒー リエール藤沢店,神奈川県,139.48738942923552,35.33855689277153,1
2021-07-08,スターバックスコーヒー エキュート上野 公園口店,東京都,139.77549682923592,35.713665087664104,1
2021-07-07,むさしの森珈琲 旭川大雪通店,北海道,142.37890691305833,43.76766925303846,1
2021-07-07,スターバックスコーヒー そよら新金岡店,大阪府,135.51459582923468,34.56688610313139,1
2021-07-07,EWALU times,三重県,136.52117747842655,34.56547382280578,1
2021-07-06,珈琲所コメダ珈琲店 新三田駅前店,兵庫県,135.207852804163,34.911498613700196,1
2021-07-05,BRIDGE BUILD COFFEE,愛知県,137.36391241288393,34.76623778721215,1
2021-07-04,サンマルクカフェ ペリエ稲毛店,千葉県,140.09189382925186,35.63709508871044,1
2021-07-01,丸福珈琲店 そごう千葉店,千葉県,140.11177651584535,35.61103318021073,1
2021-06-29,さかい珈琲 京都園部店,京都府,135.4679433509265,35.111961782698344,1
2021-06-29,ナカニシ珈琲,岡山県,133.92807582925087,34.680202101622505,1
2021-06-29,スターバックスコーヒー豊橋柱店,愛知県,137.3755165508867,34.75040744057955,1
2021-06-29,エデンコーヒー eden coffee,茨城県,140.47149629643152,36.35458418265642,1
2021-06-28,TSUTAYA BOOKSTORE カラフルタウン岐阜店,岐阜県,136.72823236507185,35.36251544334035,1
2021-06-28,SAKURA COFFEE （サクラコーヒー）,北海道,142.37958078069636,43.72901728736043,1
2021-06-27,AZLM CONNECTED CAFE 渋谷地下街店,東京都,139.6998195292519,35.65942468840547,1
2021-06-27,シナボン・シアトルズベストコーヒー VIERRA小倉店,福岡県,130.8824106348942,33.8871172864474,1
2021-06-25,Nene Coffee,千葉県,140.12913440636441,35.786234241811144,1
2021-06-24,星乃珈琲店 つくば店,茨城県,140.08599651993504,36.071396416036166,1
2021-06-24,スターバックスコーヒー イオンモール津山店,岡山県,134.0461168292352,35.0650302964664,1
2021-06-24,タノカンダ珈琲,山梨県,138.52680201289877,35.618682641006295,1
2021-06-21,珈琲日記,東京都,139.72389645046036,35.685482041527706,1
2021-06-20,シャモニーes CoCoLo店,新潟県,139.06167281573983,37.91252721199433,1
2021-06-19,星乃珈琲店 守谷店,茨城県,139.9798738512489,35.9507003202689,1
2021-06-19,珈琲所コメダ珈琲店 たつの店,兵庫県,134.55074665825006,34.85314519617289,1
