ShopName,Date,Prefecture,longitude,latitude,Open,genres
六本木もんじゃ 4RO（シロ）,2021-11-11,東京都,139.7269256156992,35.6622114386212,1, #もんじゃ焼き #鉄板焼き #居酒屋
月島もんじゃ くうや 名古屋久屋大通パーク,2021-11-09,愛知県,136.9076185789433,35.17177526507521,1, #もんじゃ焼き #お好み焼き #居酒屋
築地銀だこ 希望ヶ丘ドライブイン店,2021-11-09,神奈川県,139.51497611569565,35.461518949596794,1, #たこ焼き
島たこやき MIKE トゥースマート店,2021-10-29,兵庫県,135.19575453477424,34.682709272249504,1, #たこ焼き #バル・バール #和食（その他）
たこやき あずまや 国領店,2021-10-27,東京都,139.55700901569884,35.6501059392849,1, #たこ焼き
たこ焼き てつ,2021-10-16,愛媛県,132.95211782925023,34.06630910974528,1, #たこ焼き #焼きそば #カフェ
曾根崎鉄板食堂はなたれ ミント神戸店,2021-10-13,兵庫県,135.19380431568248,34.69454094105482,1, #お好み焼き #鉄板焼き #居酒屋
粉もん屋 八 新所沢駅前店,2021-10-08,埼玉県,139.4530750157017,35.80670353068688,1, #お好み焼き #たこ焼き
築地銀だこ 柏の葉公園ドライブイン店,2021-10-06,千葉県,139.92927511570318,35.898252125645534,1, #たこ焼き
広島お好み焼き ホプキンス,2021-10-01,東京都,139.41133581569974,35.69950223657627,1, #お好み焼き
鶴橋粉舗てこや 深江駅前店,2021-10-01,兵庫県,135.29129748272354,34.72340891257662,1,Unfound
築地銀だこ 下鶴間ドライブイン店,2021-09-23,神奈川県,139.45354082923572,35.494711390651034,1, #たこ焼き
きいろいタコ,2021-08-28,宮城県,140.89912181574738,38.31421428871163,1, #たこ焼き
くれおーる イオン幕張新都心店,2021-08-13,千葉県,140.02939101569893,35.65386913907878,1, #たこ焼き #お好み焼き
築地銀だこ 天台ドライブイン店,2021-08-10,千葉県,140.1123927275847,35.62988194039306,1, #たこ焼き
米乃家 LAND,2021-08-03,愛知県,136.851712612893,35.28892375899353,1, #その他
広島お好み焼き 鉄板焼き 大地の母 伊予店,2021-08-02,愛媛県,132.70426418920178,33.75652451359025,1,Unfound
たこかつ,2021-07-21,福岡県,130.88143983194843,33.883573349776825,1, #たこ焼き #焼きそば #おにぎり
築地銀だこ イオンモール白山店,2021-07-19,石川県,136.5822796445803,36.543563879368456,1, #たこ焼き
千房 イオンモール白山店,2021-07-19,石川県,136.5822796445803,36.543563879368456,1, #お好み焼き
鶴橋粉舗てこや 東部市場前駅前店,2021-07-16,大阪府,135.53657430553898,34.63849459405409,1,Unfound
鶴橋粉舗てこや 難波千日前店,2021-07-16,大阪府,135.5032292292348,34.663305401847786,1, #たこ焼き #からあげ
お好みバル Ricchan,2021-07-06,宮崎県,131.42102250549522,31.92677393415462,1, #お好み焼き #居酒屋 #鉄板焼き
鉄板お好み焼き処 黒。,2021-07-04,東京都,-1.0,-1.0,1, #お好み焼き
モッさんのべた焼 大宮店,2021-07-04,京都府,135.7483468292512,35.004606297279246,1, #お好み焼き #ホルモン #居酒屋
軽食酒場 鳥あえず…びーる,2021-06-29,高知県,133.53859172924967,33.56083441633811,1, #立ち飲み居酒屋・バー #たこ焼き #焼鳥
もんじゃ 鉄板 まきびし,2021-06-22,愛知県,137.01040139972343,34.99383739558085,1, #もんじゃ焼き #お好み焼き #居酒屋
千房 イオンモール水戸内原支店,2021-06-15,茨城県,140.35547108659784,36.37266974355728,1, #お好み焼き
笑う門には福来たる,2021-06-12,岩手県,141.11818082924003,39.286614436718786,1, #たこ焼き
昭平,2021-06-10,兵庫県,135.402522405542,34.800677685363915,1, #お好み焼き #お好み焼き・たこ焼き（その他） #アイスクリーム
お好み焼き もんじゃ 鉄板焼 さっとん,2021-06-10,千葉県,140.11692640555577,35.60771994160674,1, #お好み焼き #もんじゃ焼き #鉄板焼き
お好み焼き 鶴橋風月 本厚木店　,2021-06-09,神奈川県,139.36205372925158,35.44158599137332,1, #お好み焼き
築地銀だこ ドライブイン平塚河内店,2021-05-30,神奈川県,139.30961630561592,35.337392880275765,1,Unfound
ゑびす屋本舗 船岡店,2021-05-20,宮城県,140.7576336583004,38.057791994927264,1, #たこ焼き
新萬丸亭 中川店,2021-05-08,愛知県,136.8424646056118,35.138438980324544,1, #お好み焼き
としのぶさん家の粉 古川橋店,2021-05-06,大阪府,135.59079082925933,34.73988899877655,1, #その他
お好み焼・鉄板焼ちんちくりん緑井店,2021-04-27,広島県,132.46829310559886,34.46843078049468,1,Unfound
千房 イオンモール鈴鹿支店,2021-04-26,三重県,136.53188811736842,34.87180565164123,1, #お好み焼き #鉄板焼き
築地銀だこ 船橋ドライブイン店,2021-04-26,千葉県,139.98627711986316,35.74026819349185,1, #たこ焼き
TAKOYAKI BROTHERZ,2021-04-24,岐阜県,136.806927191327,35.428594065765864,1, #たこ焼き
達磨,2021-04-20,宮城県,140.85554982926385,38.27059899872955,1, #そば #天ぷら
電光石火,2021-04-20,福岡県,130.410066829258,33.59075199879583,1, #お好み焼き #鉄板焼き
たこ家道頓堀くくる 心斎橋店,2021-04-20,大阪府,135.5007530292432,34.67262869877763,1, #たこ焼き
あずまや 千歳船橋店,2021-04-09,東京都,139.6227020400252,35.647389751453005,1, #たこ焼き
お好み焼・鉄板焼・もんじゃ焼き 加屋 菰野イオンタウン店,2021-04-09,三重県,136.52829382924364,35.004676998772375,1, #お好み焼き #鉄板焼き #もんじゃ焼き
お好み・もんじゃ 清十郎 阪急西宮ガーデンズ店,2021-04-04,兵庫県,-1.0,-1.0,1,Unfound
お好み焼みっちゃん総本店 東京ソラマチ店,2021-04-01,東京都,139.80860591583772,35.710255980187476,1, #居酒屋
築地銀だこ伊勢崎ドライブスルー店,2021-03-31,群馬県,139.18397251009256,36.3099379834049,1, #たこ焼き
電光石火 渋谷センター街店,2021-03-23,東京都,-1.0,-1.0,1, #お好み焼き #居酒屋 #鉄板焼き
たこ焼きtoビール だるま,2021-03-17,広島県,133.3664603055989,34.48447528049055,1, #たこ焼き
まる福,2021-03-16,鳥取県,134.22956990561914,35.493668780238536,1, #居酒屋
とんタコ刈谷店,2021-03-14,愛知県,137.00781210560905,34.99226398036067,1, #たこ焼き
お好み・鉄板・もんじゃ焼き えふ,2021-03-08,愛知県,137.03340382925998,35.21396379876907,1, #お好み焼き #もんじゃ焼き #お好み焼き・たこ焼き（その他）
来夢羅 新深江店（きむら）,2021-03-08,大阪府,135.5596980082344,34.668354479396896,1, #お好み焼き #鉄板焼き
お好み焼き 辰ちゃん食堂,2021-03-05,兵庫県,135.36022392925938,34.72257369877682,1, #お好み焼き #おでん #定食・食堂
りえもん家,2021-03-03,広島県,133.36468910559913,34.48619998049005,1, #お好み焼き #鉄板焼き
