ShopName,Date,Prefecture,longitude,latitude,Open,genres
奥萬屋,2021-11-11,大阪府,135.5132030156821,34.66696349253116,1, #たい焼き・大判焼き #カフェ
甘芋や,2021-11-03,兵庫県,134.69296430507185,34.82478447867534,1, #スイーツ（その他）
たいやき 一休 札幌三越店,2021-11-02,北海道,141.3521188058976,43.05932073365695,1, #たい焼き・大判焼き
おいもわかいもエコールマミ店,2021-10-30,奈良県,135.7235701260081,34.545921008115826,1, #スイーツ（その他）
横浜くりこ庵 横浜東口ポルタ店,2021-10-28,神奈川県,139.62148141569563,35.46517694939717,1, #たい焼き・大判焼き
日本一たい焼 広島鈴張街道本地店,2021-10-22,広島県,132.5111264156815,34.64471389372147,1,Unfound
大須壺焼きいも 氏田屋,2021-10-14,愛知県,136.90066224946065,35.15920598618679,1, #その他
たい焼き工房 土九 富山ファボーレ店,2021-10-07,富山県,137.16928861571685,36.66264608312957,1, #たい焼き・大判焼き
焼き芋専門店 はりろ,2021-10-07,岐阜県,136.7126545206839,35.37474785455449,1, #カフェ #スイーツ（その他） #甘味処
蜜芋工房,2021-10-06,愛媛県,132.74723431566923,33.906608632837155,1, #和菓子
焼き芋 芋笑,2021-10-01,三重県,136.4514535206856,34.85230991226287,1, #その他
焼き芋専門店 芋やす 松阪店,2021-09-30,三重県,136.5286100152289,34.57906928046592,1, #スイーツ（その他）
たいやき天 玉造店,2021-09-28,大阪府,135.52794144830574,34.67786148750794,1, #たい焼き・大判焼き #和菓子
鳴門鯛焼本舗 広島本通店,2021-09-17,広島県,132.46086012923448,34.3925629054442,1, #たい焼き・大判焼き
蔵出し焼き芋かいつか ラゾーナ川崎プラザ店,2021-09-14,神奈川県,139.69370521569684,35.533103345687984,1, #スイーツ（その他）
菓処 芋いつも,2021-09-11,群馬県,139.5182321790072,36.24301270999256,1, #スイーツ（その他） #甘味処 #ソフトクリーム
神戸芋屋 志のもと 下北沢店,2021-09-10,東京都,139.66720482923589,35.66261238836196,1, #その他
さつまいも元帥 斧屋 本店,2021-09-05,大阪府,135.51082582925085,34.70254230132456,1, #スイーツ（その他） #和菓子 #自然食
焼き芋専門店 維新蔵 ルクア大阪店,2021-09-03,大阪府,135.49510478558048,34.702847667542926,1, #スイーツ（その他）
米乃家 LAND,2021-08-03,愛知県,136.851712612893,35.28892375899353,1, #その他
笑顔を運ぶ高級たい焼き きんと雲（KINTOUN）,2021-07-11,福岡県,130.51073582923334,33.31606411949959,1,Unfound
日本一たい焼滋賀竜王ドライブイン店,2021-06-18,滋賀県,136.0918256419399,35.09197734315361,1, #たい焼き・大判焼き
カリカリ博士 アピタ四日市店,2021-06-06,三重県,136.61661657313402,34.96808654219343,1, #たこ焼き #お好み焼き・たこ焼き（その他）
神鯛＆神遇,2021-05-28,島根県,132.7157726476877,34.99730287203033,1,Unfound
たいやき 天,2021-05-19,大阪府,135.47784921581703,34.67881358044007,1, #たい焼き・大判焼き #ソフトクリーム #和菓子
高級芋菓子しみず 二子玉川店,2021-05-06,東京都,139.62787841583568,35.61055148021072,1, #甘味処 #パフェ #カフェ
京都一休 グランエミオ所沢店,2021-05-02,埼玉県,139.47396950562492,35.78656978016992,1, #お好み焼き
らぽっぽファーム 心斎橋店,2021-04-20,大阪府,135.5007530292432,34.67262869877763,1, #洋菓子（その他） #ケーキ
つぼ焼いも 岐阜総本舗 幸神 西之神店,2021-04-16,岐阜県,136.6073438292442,35.47181699876525,1, #その他
神戸芋屋 志のもと 姫路店,2021-04-09,兵庫県,134.692957005606,34.83118378040117,1, #スイーツ（その他）
日本一鯛焼き わさだタウン店,2021-04-09,大分県,131.57933781578836,33.1890827808495,1, #たい焼き・大判焼き
横浜 こがね庵,2021-04-08,新潟県,139.0553117819611,37.91622940329498,1, #たい焼き・大判焼き
くりこ庵 新越谷店,2021-03-25,埼玉県,139.78925172926083,35.875520098759324,1,Unfound
鳴門鯛焼本舗 吉祥寺駅前店,2021-03-13,東京都,-1.0,-1.0,1, #たい焼き・大判焼き
スイートポテトパイ専門店 POGG(ポグ) サクラマチ熊本店,2021-03-10,熊本県,130.70246044015616,32.80020700104671,1,Unfound
芋の上松蔵（いのうえまつぞう）,2021-02-25,東京都,139.57899480562327,35.70309908018915,1, #和菓子
焼き芋スイーツ専門店 ナナシノ焼芋店,2021-02-23,東京都,139.76130162926057,35.669162198762315,1,Unfound
たい焼き屋 札幌新月堂,2021-01-11,北海道,141.33778251599838,43.04534367914693,1, #たい焼き・大判焼き #和菓子 #甘味処
imoimo,2021-01-01,北海道,-1.0,-1.0,1, #スイーツ（その他）
鯛焼き屋 たよ,2020-12-27,岐阜県,137.02776882926068,35.84561599875979,1,Unfound
鳴門鯛焼本舗 長岡天神店,2020-12-18,京都府,135.6925992879172,34.92615807773717,1, #たい焼き・大判焼き
Ms.Yakiimo（ミズ　ヤキイモ）,2020-12-18,東京都,139.7743893056234,35.71213518018709,1, #スイーツ（その他）
Oyatsuimo Yotsuya（おやついも よつや）,2020-12-14,福岡県,130.5244436790494,33.3049032753127,1, #スイーツ（その他） #和菓子
鯛焼工房やきやきや尾上店,2020-12-14,兵庫県,134.82256021295186,34.74967758042199,1, #たい焼き・大判焼き
