Date,ShopName,longitude,latitude
2021-02-11,レストラン山海亭,38.424966,141.27981
2021-02-10,山形 どんどん焼きカフェ カシワヤ,38.424966,141.27981
2021-02-10,茨木スカイレストラン,38.424966,141.27981
2021-02-09,ホリーズカフェ グリーンプラザべふ店,38.424966,141.27981
2021-02-06,Cafe comme ca 渋谷西武店,38.424966,141.27981
2021-02-06,Cafe comme ca 福岡VIORO店,38.424966,141.27981
2021-02-06,Cafe comme ca 本川越ペペ店,38.424966,141.27981
2021-02-06,神戸屋キッチン エスパル仙台店,38.424966,141.27981
2021-02-05,NISHIs KITCHEN いわきFCパーク店,38.424966,141.27981
2021-02-04,ばーすでい&カフェ 東北学院大学店,38.424966,141.27981
2021-02-01,カフェ デック,38.424966,141.27981
2021-01-31,PRONTOプロント ビーンズ阿佐ヶ谷店,38.424966,141.27981
2021-01-31,レストラン ぽるとカーブドッチ,38.424966,141.27981
2021-01-31,カフェティンバーハウス エキュート大宮店,38.424966,141.27981
2021-01-29,なごめしカフェ トラッツィオーネナゴヤ,38.424966,141.27981
2021-01-26,ミカフェート 六本松店,38.424966,141.27981
2021-01-19,デリス グランベリー武蔵小杉店,38.424966,141.27981
2021-01-16,XFLAG STORE SHIBUYA,38.424966,141.27981
2021-01-15,ローカルデリ越谷レイクタウン店,38.424966,141.27981
2021-01-15,J.S.PANCAKE CAFE ルミネ立川店,38.424966,141.27981
2021-01-14,みぼうじんカレー,38.424966,141.27981
2021-01-13,sans-souci,38.424966,141.27981
2021-01-12,chano-ma 中目黒,38.424966,141.27981
2021-01-11,Cafe comme ca カフェコムサ 高崎オーパ店,38.424966,141.27981
2021-01-11,星野デザートアート 道頓堀店,38.424966,141.27981
2021-01-11,楽農レストラン 育みの里 かんでかんで,38.424966,141.27981
2021-01-10,DEAN & DELUCA カフェBMW GROUP TERRACE,38.424966,141.27981
2021-01-09,BROWNE COFFEE 豊田毘森公園店,38.424966,141.27981
2021-01-07,ポムポムプリンカフェ原宿,38.424966,141.27981
2021-01-07,カフェ・アルコ プレーゴ,38.424966,141.27981
2021-01-07,SHIBUYA BOX CAFE & SPACE 渋谷ロフト店,38.424966,141.27981
2021-01-05,PRONTOプロント 仙台青葉通り店,38.424966,141.27981
2021-01-04,J.S. PANCAKE CAFE 金沢百番街Rinto店,38.424966,141.27981
2021-01-04,CAFE；HAUS（カフェハウス）,38.424966,141.27981
2021-01-04,Hattendo Cafeラクーア店,38.424966,141.27981
2021-01-02,mumokuteki 大阪店,38.424966,141.27981
2021-01-02,CAFE EURO (カフェユーロ ),38.424966,141.27981
2020-12-31,資生堂パーラー キッテ グランシェ ショップ,38.424966,141.27981
2020-12-30,BROOK’S ME-BYO café,38.424966,141.27981
2020-12-30,STYLUS（スタイラス）,38.424966,141.27981
2020-12-30,ROD 東京店,38.424966,141.27981
2020-12-30,MLB café TOKYO 恵比寿店,38.424966,141.27981
2020-12-28,銀座立田野 アトレ吉祥寺店,38.424966,141.27981
2020-12-28,カフェ＆グリル みのりみのる 新潟店,38.424966,141.27981
2020-12-28,カフェタマ さいたま新都心,38.424966,141.27981
2020-12-27,KAWAII MONSTER CAFE カワイイモンスターカフェ,38.424966,141.27981
2020-12-26,CITY ICECREAM ＆ COFFEE,38.424966,141.27981
2020-12-26,CCC Cheese Cheers Café Shibuya,38.424966,141.27981
2020-12-24,PRONTOプロント 秋葉原店,38.424966,141.27981
2020-12-22,ハードロックカフェ大阪,38.424966,141.27981
2020-12-21,ベーカリーカフェ・デリーナ仙台駅店,38.424966,141.27981
2020-12-20,cafe ＆ bar GOODIES,38.424966,141.27981
2020-12-19,花カフェFLOWA,38.424966,141.27981
2020-12-19,サンマルクカフェ 目黒東口店,38.424966,141.27981
2020-12-19,山登寿,38.424966,141.27981
2020-12-18,シナモロールカフェ京都店,38.424966,141.27981
2020-12-18,シルバニア森のキッチン 横浜ワールドポーターズ店,38.424966,141.27981
2020-12-13,RONDINO ロンディーノ,38.424966,141.27981
2020-12-13,DEAN & DELUCA カフェ青山,38.424966,141.27981
2020-12-10,カフェ・フローラ (CAFE FLORA),38.424966,141.27981
2020-12-06,パディントン,38.424966,141.27981
2020-12-05,ベーカリーカフェローフ 川崎店,38.424966,141.27981
2020-12-05,レストハウスつるみ,38.424966,141.27981
2020-12-03,UCCカフェ コンフォート 神戸市庁舎店,38.424966,141.27981
2020-12-02,Cafe Rondino,38.424966,141.27981
2020-12-01,hane-cafe（ハネカフェ）,38.424966,141.27981
2020-12-01,神楽坂ボードゲームカフェ RE:ALL,38.424966,141.27981
