Date,ShopName,Prefecture,longitude,latitude,Open
2021-11-01,GUNDAM Café ガンダムカフェ 全店,東京都,139.7708903157,35.699278336588584,0
2021-10-27,BROOKLYN ROASTING COMPANY 晴海トリトン店,東京都,139.7792109156991,35.65764213887171,0
2021-10-24,RENOIR（ルノアール）,栃木県,139.92708671571734,36.6853945818524,0
2021-10-08,ELOISE’s Cafe横浜ハンマーヘッド店,神奈川県,139.63976861583248,35.456653480247226,0
2021-10-06,SOUTHERLY サウザリー,神奈川県,139.4021974667725,35.32829622643916,0
2021-09-29,ダッキーダックカフェ 町田ジョルナ店,東京都,139.44475521569694,35.542035445199886,0
2021-09-28,Café＆Meal_MUJI 日比谷,東京都,139.75750871569934,35.672595438052014,0
2021-09-24,PRONTO プロント マーレ武蔵浦和店,埼玉県,139.64528871570243,35.844919828583784,0
2021-09-19,コラソンカフェ 大宮店,埼玉県,139.6227659157033,35.9062854252028,0
2021-09-17,スパイスマジック渋谷店,東京都,139.6953504156992,35.66240763861054,0
2021-08-11,CAFE FREDY 銀座店,東京都,139.76460941569934,35.674999337920234,0
2021-07-24,グッドスマイル×アニメイトカフェ秋葉原,東京都,139.77008761419677,35.69948157324038,0
2021-06-27,タニタカフェ有楽町店,東京都,139.7623277817872,35.67477524777177,0
2021-06-13,sisters池袋,東京都,139.71388342925198,35.731480687420294,0
2021-06-06,サンマルクカフェ 京急弘明寺駅前店,神奈川県,139.5974457562337,35.42443279042074,0
2021-06-02,サンマルクカフェ 神田西口店,東京都,139.76800771583734,35.691154180191894,0
2021-05-26,不二家レストラン 栃木店,栃木県,139.72704951298505,36.398228980033416,0
2021-05-26,不二家レストラン 北里病院前店,神奈川県,139.3950790129676,35.53679888022824,0
2021-05-22,モンスーンカフェ たまプラーザ,神奈川県,139.55459608988883,35.575351161337466,0
2021-05-21,アニON STATION AKIHABARA本店,東京都,139.767547679559,35.70008933664209,0
2021-05-17,PRONTOプロント 新宿小田急エース店,東京都,139.6960714158372,35.69031978019225,0
2021-05-10,カフェド武 原宿店,東京都,139.70558000562255,35.66751688019754,0
2021-05-05,サンマルクカフェ 神奈川元住吉店,神奈川県,139.6532572406829,35.56532860283623,0
2021-04-29,サンマルクカフェ浜松町貿易センタービル店,東京都,139.7560698129698,35.65517468020052,0
2021-04-24,江戸フィール Edofeel,東京都,139.76104542926058,35.66906629876234,0
2021-04-14,マルノウチリーディングスタイル,東京都,139.76254011583694,35.67984528019448,0
2021-04-11,TOP SECRET CAFE トップシークレットカフェ,埼玉県,139.47769431584166,35.90851998014187,0
2021-04-05,シビックスカイレストラン椿山荘,東京都,-1,-1,0
2021-04-02,サンマルクカフェ 渋谷井の頭通店,東京都,139.6974059292604,35.661560398762404,0
2021-03-28,MAISON ICHI 東京都写真美術館店,東京都,-1,-1,0
2021-03-27,のものキッチン秋葉原店,東京都,139.77146811583728,35.698442480190415,0
2021-03-25,PRONTO新宿小田急エース店,東京都,139.6960714158372,35.69031978019223,0
2021-03-19,モスカフェ表参道店,東京都,139.70992850562254,35.66657208019774,0
2021-03-16,神戸屋キッチンnonowa武蔵境店,東京都,139.54097821583755,35.702102980189366,0
2021-02-21,カフェ食堂enishi,東京都,139.4800025158375,35.70098488018977,0
2021-02-21,Urth Caffé 表参道店,東京都,139.7104285129701,35.66748138019743,0
2021-02-20,ニド・カフェ Nid CAFE,東京都,139.71345220562233,35.66585198019784,0
2021-02-17,ハンズカフェ池袋,東京都,139.71614866809378,35.7297907191829,0
2021-02-12,コックンの別荘 レミィ町田店,東京都,139.44478851583412,35.542909480226704,0
2021-02-11,レストラン山海亭,東京都,-1,-1,0
2021-02-06,Cafe comme ca 渋谷西武店,東京都,139.69954921297003,35.661160280198985,0
2021-02-06,Cafe comme ca 本川越ペペ店,埼玉県,139.4791798158417,35.91451528014056,0
2021-02-01,カフェ デック,東京都,139.7701019056238,35.729511980183204,0
2021-01-31,PRONTOプロント ビーンズ阿佐ヶ谷店,東京都,139.63615571297103,35.70478338018885,0
2021-01-31,カフェティンバーハウス エキュート大宮店,埼玉県,139.6237878588686,35.90704859101196,0
