Date,ShopName,Prefecture,longitude,latitude,Open
2021-11-05,からあげ専門店 鶏ちゃん 仙川店,東京都,139.58261410044807,35.661390074595325,1
2021-11-03,骨付鳥、からあげ、ハイボール がブリチキン。桑名駅前店,三重県,136.68535582923522,35.067079096438825,1
2021-11-01,からあげ 金と銀 足立入谷店,東京都,139.76109571570174,35.80999083050605,1
2021-10-27,からあげ、定食、丼 がブリチキン。則武新町店,愛知県,136.8777393156908,35.179988364904176,1
2021-10-24,元祖からあげ本舗マルタカ 富岡店,群馬県,138.8981248157096,36.255820705851434,1
2021-10-22,あっちゃんのからあげ屋 大和田北口店,大阪府,135.6011135179467,34.74397848936251,1
2021-10-22,からあげ専門店 味まる プリオ豊川店,愛知県,137.36809511568492,34.826076283999676,1
2021-10-21,元祖からあげ本舗ばんまる 富士見店,埼玉県,139.547137936711,35.85769860547491,1
2021-10-18,からあげ縁 長野権堂店,長野県,138.18990859088504,36.65222427860066,1
2021-10-18,満天からあげ 高槻店,大阪府,135.62681031288517,34.83090878374022,1
2021-10-14,元祖からあげ本舗だるま 浜野店,千葉県,140.13391507582168,35.552998137825796,1
2021-10-11,大分からあげと鉄板焼 帯屋町応援団 勝男,高知県,133.53931482924966,33.56065061634048,1
2021-10-11,大分からあげと鉄板焼 近鉄布施応援団 勝男,大阪府,135.56114653553053,34.66412001624837,1
2021-10-08,あっちゃんのからあげ屋 総持寺駅前店,大阪府,135.58241761568473,34.826623283970605,1
2021-10-05,元祖からあげ本舗 まるけん 伊勢原店,神奈川県,139.34014631569445,35.40152055286768,1
2021-10-04,よしおのからあげ,福井県,136.22164681570666,36.08227571547921,1
2021-10-03,からあげブラザーズ イオンモールナゴヤドーム前店,愛知県,136.9401086238253,35.188709419021095,1
2021-10-01,あっちゃんのからあげ屋 西天満店,大阪府,135.5061867128829,34.69760039089109,1
2021-09-30,からあげの鉄人 五香西口駅前店,千葉県,139.96312271570147,35.79728803120486,1
2021-09-28,元祖からあげ本舗マルヒデ狛江店,東京都,139.58850811569852,35.6332296402096,1
2021-09-28,大分からあげと鉄板焼 近鉄八尾応援団 勝男,大阪府,135.60093582923474,34.630480602285175,1
2021-09-21,からあげ原人 調布店,東京都,139.5637318292519,35.65457008847181,1
2021-09-17,あっちゃんのからあげ屋 水道筋商店街店,兵庫県,135.2215388156829,34.7126943900826,1
